gene,chromosome,strand,tss
ENSG00000279702,chr13,-,102300272
FGF14-AS1,chr13,+,102367467
FGF14-AS2,chr13,+,102394577
ENSG00000303307,chr13,-,102481678
ENSG00000276957,chr13,-,102596870
LINC00555,chr13,-,102589813
TPP2,chr13,+,102596957
METTL21C,chr13,-,102695044
ENSG00000294624,chr13,-,102704383
ENSG00000294645,chr13,+,102701300
CCDC168,chr13,-,102759072
ENSG00000286312,chr13,+,102731718
TEX30,chr13,-,102773811
POGLUT2,chr13,-,102799040
BIVM-ERCC5,chr13,+,102799109
BIVM,chr13,+,102799118
ENSG00000305730,chr13,-,102846569
ERCC5,chr13,+,102845830
METTL21EP,chr13,+,102880039
ENSG00000272542,chr13,+,102888857
ENSG00000278445,chr13,+,102903182
SLC10A2,chr13,-,103066417
ENSG00000296764,chr13,+,103169108
ENSG00000285789,chr13,+,103343659
LINC01309,chr13,+,103420824
ENSG00000302562,chr13,+,103464530
ENSG00000303811,chr13,-,103664654
ENSG00000304703,chr13,-,104015494
ENSG00000302629,chr13,+,104016183
ENSG00000287734,chr13,+,104125929
ENSG00000297523,chr13,-,104181274
ENSG00000309849,chr13,+,104357368
ENSG00000293803,chr13,+,104621632
ENSG00000297922,chr13,-,104715512
ENSG00000296305,chr13,-,104789068
ENSG00000304988,chr13,-,104837976
ENSG00000305002,chr13,+,104823306
ENSG00000309518,chr13,+,104867574
ENSG00000295604,chr13,-,104969033
ENSG00000295623,chr13,+,104937971
ENSG00000297213,chr13,-,105140248
ENSG00000297198,chr13,+,105139942
ENSG00000308258,chr13,+,105208138
ENSG00000286929,chr13,+,105410756
DAOA-AS1,chr13,-,105505681
ENSG00000275968,chr13,+,105459814
ENSG00000275502,chr13,+,105462301
DAOA,chr13,+,105465866
ENSG00000308108,chr13,-,105706856
ENSG00000289454,chr13,-,105599562
ENSG00000280455,chr13,+,105690428
LINC00343,chr13,+,105702698
ENSG00000252550,chr13,-,105897643
ENSG00000299584,chr13,+,105904581
ENSG00000287923,chr13,-,106214010
ENSG00000298343,chr13,-,105979918
ENSG00000298325,chr13,+,106101526
ENSG00000286780,chr13,-,106371082
ENSG00000293703,chr13,+,106334006
ENSG00000293729,chr13,-,106349534
LINC00460,chr13,+,106374476
ENSG00000298145,chr13,-,106417715
ENSG00000298164,chr13,+,106407389
ENSG00000298177,chr13,-,106416804
ENSG00000303813,chr13,-,106479131
ENSG00000303827,chr13,+,106469102
ENSG00000303843,chr13,-,106473333
ENSG00000303331,chr13,+,106484591
EFNB2,chr13,-,106535662
ENSG00000284966,chr13,+,106491146
ENSG00000274204,chr13,-,106506713
ARGLU1,chr13,-,106568137
ARGLU1-DT,chr13,+,106567329
ENSG00000299254,chr13,-,106619371
ENSG00000299266,chr13,-,106676334
ENSG00000304981,chr13,+,106681356
ENSG00000287546,chr13,+,106753246
ENSG00000309579,chr13,+,106763297
ENSG00000278698,chr13,-,106796287
ENSG00000277863,chr13,-,106904099
ENSG00000295798,chr13,+,106917724
ENSG00000279157,chr13,-,106942561
ENSG00000285643,chr13,-,106961392
ENSG00000299637,chr13,-,107059214
NALF1,chr13,-,107867496
SNORD31B,chr13,-,107320963
ENSG00000276740,chr13,-,107466674
MIR1267,chr13,-,107531248
NALF1-IT1,chr13,-,107835451
ENSG00000301677,chr13,+,107834592
ENSG00000286343,chr13,+,107868686
ENSG00000274718,chr13,+,107870382
ENSG00000303355,chr13,-,108029325
LIG4,chr13,-,108218368
ABHD13,chr13,+,108218391
TNFSF13B,chr13,+,108251239
ENSG00000277246,chr13,+,108267319
ENSG00000283384,chr13,+,108335353
ENSG00000298722,chr13,-,108496298
ENSG00000298702,chr13,+,108495881
ENSG00000309592,chr13,-,108591936
MYO16,chr13,+,108596151
MYO16-AS2,chr13,-,109101919
ENSG00000306568,chr13,-,109140998
MYO16-AS1,chr13,-,109201483
ENSG00000303952,chr13,-,109268996
LINC00370,chr13,+,109265415
LINC01067,chr13,+,109310134
ENSG00000297783,chr13,-,109400825
ENSG00000297807,chr13,+,109374281
LINC00399,chr13,+,109400402
ENSG00000289901,chr13,-,109424341
ENSG00000307392,chr13,+,109453106
ENSG00000285534,chr13,-,109732157
ENSG00000298024,chr13,+,109509834
ENSG00000295255,chr13,-,109585775
ENSG00000296995,chr13,+,109590291
ENSG00000309005,chr13,-,109606755
ENSG00000294610,chr13,-,109668148
ENSG00000301741,chr13,+,109685177
ENSG00000295202,chr13,+,109707281
LINC00676,chr13,+,109728281
ENSG00000308820,chr13,+,109737669
IRS2,chr13,-,109786583
ENSG00000300524,chr13,+,109785651
ENSG00000275741,chr13,+,109785830
ENSG00000300543,chr13,-,109789589
ENSG00000275248,chr13,+,109805316
ENSG00000301029,chr13,+,109869644
RN7SKP10,chr13,+,109915095
LINC03082,chr13,-,110129136
ENSG00000274331,chr13,-,109986565
ENSG00000305305,chr13,+,110000418
LINC00396,chr13,+,110053284
ENSG00000295795,chr13,+,110094424
RN7SL783P,chr13,-,110098151
LINC03032,chr13,+,110123207
ENSG00000299891,chr13,+,110129146
ENSG00000287575,chr13,-,110139586
COL4A1,chr13,-,110307202
ENSG00000279237,chr13,-,110266113
ENSG00000295764,chr13,+,110271643
COL4A2,chr13,+,110305811
ENSG00000296215,chr13,-,110314146
MIR8073,chr13,+,110340957
ENSG00000310266,chr13,-,110437031
COL4A2-AS2,chr13,-,110463287
ENSG00000289010,chr13,-,110521235
COL4A2-AS1,chr13,-,110508179
ENSG00000303247,chr13,+,110521060
RAB20,chr13,-,110561722
NAXD-AS1,chr13,-,110616353
NAXD,chr13,+,110615544
CARS2,chr13,-,110713603
ING1,chr13,+,110712735
ENSG00000298468,chr13,-,110715353
ENSG00000298451,chr13,-,110758377
ENSG00000298419,chr13,+,110775715
ENSG00000298439,chr13,-,110813406
LINC00567,chr13,-,110813084
ENSG00000310123,chr13,+,110822106
PRECSIT,chr13,-,110870476
ANKRD10,chr13,-,110915069
ANKRD10-IT1,chr13,-,110899172
ENSG00000301617,chr13,+,110915198
ENSG00000277767,chr13,+,110915283
ENSG00000290807,chr13,-,110981178
ENSG00000302275,chr13,+,110946095
ENSG00000290808,chr13,+,110965595
ENSG00000296735,chr13,+,111037623
ENSG00000298786,chr13,-,111095772
LINC00368,chr13,+,111095813
ARHGEF7-AS2,chr13,-,111115805
ARHGEF7,chr13,+,111114558
ARHGEF7-IT1,chr13,+,111122651
ARHGEF7-AS1,chr13,-,111144733
ENSG00000285856,chr13,-,111153171
TEX29,chr13,+,111316183
ENSG00000303562,chr13,-,111549560
LINC02337,chr13,+,111588200
ENSG00000308018,chr13,-,111603250
ENSG00000308005,chr13,-,111663397
ENSG00000305993,chr13,+,111677645
ENSG00000306017,chr13,-,111680292
ENSG00000299388,chr13,+,111753869
ENSG00000304584,chr13,-,111765195
ENSG00000300076,chr13,+,111770977
LINC00354,chr13,+,111865135
ENSG00000306398,chr13,+,111897178
ENSG00000308369,chr13,+,111972357
ENSG00000302632,chr13,-,112015283
ENSG00000295797,chr13,-,112069252
ENSG00000200072,chr13,+,112052077
SOX1-OT,chr13,+,112056844
ENSG00000295838,chr13,+,112057419
SOX1,chr13,+,112067148
ENSG00000260385,chr13,+,112083548
LINC00404,chr13,-,112106882
ENSG00000304677,chr13,-,112164248
ENSG00000304701,chr13,+,112161712
ENSG00000306489,chr13,-,112196410
LINC01070,chr13,+,112189088
ENSG00000307285,chr13,-,112214479
ENSG00000308380,chr13,+,112222507
ENSG00000298613,chr13,-,112243076
ENSG00000298635,chr13,+,112239663
ENSG00000300029,chr13,+,112274326
LINC01043,chr13,+,112313466
LINC01044,chr13,-,112331225
ENSG00000295796,chr13,-,112476051
SPACA7,chr13,+,112376354
TUBGCP3,chr13,-,112588205
ENSG00000277159,chr13,-,112606417
ATP11AUN,chr13,+,112647043
ENSG00000306040,chr13,+,112656201
ENSG00000309697,chr13,-,112678860
ENSG00000274922,chr13,-,112691109
ENSG00000306204,chr13,+,112689270
ATP11A,chr13,+,112690037
ATP11A-AS1,chr13,-,112754693
ENSG00000303208,chr13,-,112837495
ENSG00000277545,chr13,+,112811565
MCF2L,chr13,+,112894377
ENSG00000296609,chr13,-,112929821
ENSG00000267868,chr13,-,112966131
MCF2L-AS1,chr13,-,112968824
ENSG00000289354,chr13,+,112969500
ENSG00000269356,chr13,+,113008777
ENSG00000269376,chr13,+,113009670
F7,chr13,+,113105787
F10,chr13,+,113122798
F10-AS1,chr13,-,113130051
ENSG00000297191,chr13,-,113139104
ENSG00000283828,chr13,-,113154002
ENSG00000302668,chr13,+,113151795
ENSG00000304064,chr13,-,113158999
PROZ,chr13,+,113158647
ENSG00000269125,chr13,-,113165183
PCID2,chr13,-,113208715
CUL4A,chr13,+,113208192
MIR8075,chr13,+,113262919
LAMP1,chr13,+,113297238
GRTP1,chr13,-,113364148
ENSG00000276434,chr13,-,113339958
GRTP1-AS1,chr13,+,113351581
ENSG00000297625,chr13,+,113363697
ENSG00000296210,chr13,-,113379091
ADPRHL1,chr13,-,113453488
DCUN1D2,chr13,-,113490951
DCUN1D2-AS,chr13,+,113468695
RNU1-16P,chr13,-,113479078
TMCO3,chr13,+,113491020
ENSG00000276916,chr13,+,113511746
ENSG00000276248,chr13,+,113527259
ENSG00000301648,chr13,-,113566236
TFDP1,chr13,+,113584720
ATP4B,chr13,-,113658198
GRK1,chr13,+,113667218
LINC00552,chr13,-,113751089
ENSG00000307605,chr13,-,113756692
TMEM255B,chr13,+,113759225
GAS6-AS1,chr13,+,113815629
ENSG00000300334,chr13,-,113817729
GAS6,chr13,-,113864076
GAS6-DT,chr13,+,113864111
ENSG00000237699,chr13,+,113877332
LINC00454,chr13,-,113883651
ENSG00000274766,chr13,+,113883651
ENSG00000293677,chr13,+,113883699
LINC00452,chr13,+,113895102
SWINGN,chr13,-,113928991
ENSG00000308682,chr13,+,113935711
C13orf46,chr13,-,113974076
ENSG00000294713,chr13,+,113974128
RASA3,chr13,-,114132623
ENSG00000304722,chr13,-,114058392
ENSG00000304700,chr13,-,114065821
ENSG00000304656,chr13,-,114134664
RASA3-IT1,chr13,-,114108820
ENSG00000304746,chr13,+,114114775
ENSG00000304678,chr13,-,114133985
ENSG00000307764,chr13,-,114142678
ENSG00000303125,chr13,-,114146771
CFAP97D2,chr13,+,114154690
ENSG00000283347,chr13,-,114215835
ENSG00000308920,chr13,-,114221228
CDC16,chr13,+,114234886
MIR548AR,chr13,+,114244504
ENSG00000289904,chr13,-,114282439
MIR4502,chr13,+,114273827
ENSG00000285672,chr13,-,114277323
UPF3A,chr13,+,114281600
CHAMP1,chr13,+,114314481
LINC01054,chr13,-,114346533
LINC01070,chr13_KI270838v1_alt,+,14475
LINC01043,chr13_KI270838v1_alt,+,114462
LINC01044,chr13_KI270838v1_alt,-,132195
SPACA7,chr13_KI270838v1_alt,+,177288
TUBGCP3,chr13_KI270838v1_alt,-,305684
RNU6-55P,chr13_KI270840v1_alt,-,170941
U6,chr13_KI270840v1_alt,+,187599
GRK1,chr13_KI270842v1_alt,+,4333
LINC00552,chr13_KI270842v1_alt,-,24579
TMEM255B,chr13_KI270842v1_alt,+,32731
C13orf46,chr13_KN538371v1_fix,-,37102
RASA3,chr13_KN538371v1_fix,-,191714
RASA3-IT1,chr13_KN538371v1_fix,-,167911
FAM230C,chr13_KN538372v1_fix,+,193956
ENSG00000283864,chr13_KN538372v1_fix,+,234159
LINC00411,chr13_KN538373v1_fix,-,43819
GRK1,chr13_ML143365v1_fix,+,18041
LINC00552,chr13_ML143365v1_fix,-,52688
ENSG00000288236,chr13_ML143366v1_fix,-,134188
ENSG00000288506,chr13_ML143366v1_fix,+,256351
5_8S_rRNA,chr14,+,16057471
ENSG00000290354,chr14,+,18289340
RNU6-458P,chr14,+,18343037
ENSG00000257959,chr14,-,18596342
ENSG00000306587,chr14,+,18589943
OR11H12,chr14,+,18601116
ENSG00000258364,chr14,+,18630161
LINC02297,chr14,-,18633634
ENSG00000300515,chr14,+,18667022
ENSG00000290346,chr14,-,18712497
ENSG00000304498,chr14,-,18882250
ENSG00000304510,chr14,+,18880796
ENSG00000291204,chr14,-,18916544
ENSG00000257891,chr14,+,18920108
POTEM,chr14,+,18967433
ENSG00000275563,chr14,-,18980742
RNU6-1239P,chr14,+,18978846
ENSG00000258314,chr14,+,19024089
DUXAP9,chr14,+,19062293
ENSG00000308525,chr14,-,19099059
ENSG00000277128,chr14,-,19175530
ENSG00000299837,chr14,+,19169005
ENSG00000295154,chr14,+,19210821
ENSG00000257310,chr14,+,19244961
DUXAP10,chr14,-,19337756
ENSG00000291205,chr14,+,19300927
LINC01297,chr14,-,19384587
POTEG,chr14,-,19434341
ENSG00000276888,chr14,+,19420974
RNU6-1268P,chr14,-,19422921
ENSG00000293168,chr14,+,19482112
ENSG00000273639,chr14,+,19499736
ENSG00000273558,chr14,+,19637224
ENSG00000259069,chr14,-,19684894
ENSG00000257395,chr14,+,19681025
ENSG00000294608,chr14,-,19700658
OR11H2,chr14,-,19713883
OR4N2,chr14,+,19719014
OR4Q3,chr14,+,19743570
OR4M1,chr14,+,19773503
OR4K3,chr14,-,19869143
OR4K2,chr14,+,19875141
OR4K5,chr14,+,19920606
OR4K1,chr14,+,19930916
ENSG00000290702,chr14,+,19954489
OR4K15,chr14,+,19975590
OR4Q2,chr14,+,19999912
OR4K14,chr14,-,20019307
OR4K13,chr14,-,20036038
OR4L1,chr14,+,20060044
ENSG00000293991,chr14,-,20101085
OR4K17,chr14,+,20110738
OR4N5,chr14,+,20138819
OR11G2,chr14,+,20190895
ENSG00000290703,chr14,+,20204605
OR11H6,chr14,+,20223709
OR11H7,chr14,+,20229401
OR11H4,chr14,+,20239285
TTC5,chr14,-,20305960
ENSG00000258768,chr14,-,20264308
ENSG00000258459,chr14,+,20305729
CCNB1IP1,chr14,-,20333312
ENSG00000287735,chr14,+,20317948
SNORA79B,chr14,-,20323326
SNORD126,chr14,-,20326526
ENSG00000297673,chr14,-,20342768
ENSG00000259001,chr14,-,20343685
RPPH1,chr14,-,20343407
PARP2,chr14,+,20343614
ENSG00000254846,chr14,-,20346888
TEP1,chr14,-,20413501
ENSG00000300624,chr14,+,20413073
KLHL33,chr14,-,20436166
ENSG00000291038,chr14,+,20427440
OSGEP,chr14,-,20455089
ENSG00000258515,chr14,+,20451304
APEX1,chr14,+,20455190
PIP4P1,chr14,-,20461465
PNP,chr14,+,20461991
ENSG00000258908,chr14,-,20477089
RNASE10,chr14,+,20505536
RNASE9,chr14,-,20561047
RNASE11,chr14,-,20609884
ENSG00000259060,chr14,-,20609795
RNASE11-AS1,chr14,+,20587643
RNASE12,chr14,-,20591376
ENSG00000297012,chr14,+,20609918
ENSG00000296288,chr14,+,20632294
OR6S1,chr14,-,20641691
ENSG00000296068,chr14,+,20653292
Y_RNA,chr14,+,20679410
ANG,chr14,+,20684176
RNASE4,chr14,+,20684559
ENSG00000259171,chr14,+,20684586
ENSG00000303727,chr14,-,20799981
EGILA,chr14,-,20707120
ENSG00000303752,chr14,+,20722120
EDDM3A,chr14,+,20745886
EDDM3B,chr14,+,20768403
RNASE6,chr14,+,20781267
LINC03058,chr14,+,20783887
ENSG00000303743,chr14,+,20791451
RNASE1,chr14,-,20802855
ENSG00000303804,chr14,-,20828133
ENSG00000259130,chr14,-,20990463
RNASE3,chr14,+,20891384
RNASE2CP,chr14,+,20909830
ENSG00000303820,chr14,-,20956443
RNASE2,chr14,+,20955486
RN7SL189P,chr14,+,20963578
METTL17,chr14,+,20989972
ENSG00000258471,chr14,-,21014822
SLC39A2,chr14,+,20999254
NDRG2,chr14,-,21070872
MIR6717,chr14,-,21023386
TPPP2,chr14,+,21024108
ENSG00000258604,chr14,+,21024171
ENSG00000255472,chr14,+,21032817
RNASE13,chr14,-,21034807
RNASE7,chr14,+,21042315
RNASE8,chr14,+,21057821
ENSG00000299988,chr14,+,21061298
ARHGEF40,chr14,+,21070272
ZNF219,chr14,-,21104722
TMEM253,chr14,+,21098810
ENSG00000178107,chr14,+,21103729
RNU6-252P,chr14,-,21113745
OR5AU1,chr14,-,21159060
LINC00641,chr14,-,21206900
HNRNPC,chr14,-,21269494
RPGRIP1,chr14,+,21280082
ENSG00000296264,chr14,-,21308765
SUPT16H,chr14,-,21384019
ENSG00000260830,chr14,+,21383381
CHD8,chr14,-,21456126
SNORD9,chr14,-,21392253
SNORD8,chr14,-,21397401
RN7SL650P,chr14,-,21429806
ENSG00000305385,chr14,+,21456230
RAB2B,chr14,-,21476960
TOX4,chr14,+,21476596
METTL3,chr14,-,21511342
SALL2,chr14,-,21537216
ENSG00000257096,chr14,+,21521082
OR10G3,chr14,-,21580076
TRAV1-1,chr14,+,21621837
OR10G2,chr14,-,21634940
TRAV1-2,chr14,+,21642888
OR4E2,chr14,+,21653834
OR4E1,chr14,-,21673818
TRAV2,chr14,+,21712320
ENSG00000248358,chr14,-,21716262
TRAV3,chr14,+,21723712
TRAV4,chr14,+,21736151
TRAV5,chr14,+,21749177
TRAV6,chr14,+,21768488
TRAV7,chr14,+,21782992
TRAV8-1,chr14,+,21797286
TRAV9-1,chr14,+,21811501
TRAV10,chr14,+,21825471
TRAV12-1,chr14,+,21841239
TRAV8-2,chr14,+,21846536
TRAV8-3,chr14,+,21852557
ENSG00000289723,chr14,+,21861352
TRAV13-1,chr14,+,21868838
TRAV12-2,chr14,+,21887856
TRAV8-4,chr14,+,21894432
TRAV13-2,chr14,+,21918187
TRAV14DV4,chr14,+,21924062
TRAV9-2,chr14,+,21941127
TRAV12-3,chr14,+,21965450
TRAV8-6,chr14,+,21978458
TRAV16,chr14,+,21990495
TRAV17,chr14,+,21997538
TRAV18,chr14,+,22003105
TRAV19,chr14,+,22007511
TRAV20,chr14,+,22040593
TRAV21,chr14,+,22052513
TRAV22,chr14,+,22070556
TRAV23DV6,chr14,+,22086406
TRDV1,chr14,+,22096031
TRAV24,chr14,+,22105342
TRAV25,chr14,+,22112346
TRAV26-1,chr14,+,22123317
TRAV8-7,chr14,+,22132552
TRAV27,chr14,+,22147994
TRAV29DV5,chr14,+,22163237
TRAV30,chr14,+,22168428
TRD-AS1,chr14,-,22484462
TRAV26-2,chr14,+,22202582
TRAV34,chr14,+,22207521
TRAV36DV7,chr14,+,22226745
ENSG00000289495,chr14,+,22229655
TRAV38-1,chr14,+,22271967
TRAV38-2DV8,chr14,+,22281104
TRAV39,chr14,+,22304053
TRAV40,chr14,+,22314489
TRAV41,chr14,+,22320187
ENSG00000259042,chr14,+,22415361
TRDV2,chr14,+,22422370
TRDD1,chr14,+,22438546
TRDD2,chr14,+,22439006
TRDD3,chr14,+,22449112
TRDJ1,chr14,+,22450088
TRDJ4,chr14,+,22455248
TRDJ2,chr14,+,22456688
TRDJ3,chr14,+,22459097
TRDC,chr14,+,22462931
TRDV3,chr14,-,22469698
TRAJ61,chr14,+,22475315
TRAJ59,chr14,+,22476552
TRAJ58,chr14,+,22477706
TRAJ57,chr14,+,22478871
TRAJ56,chr14,+,22479520
TRAJ54,chr14,+,22482286
TRAJ53,chr14,+,22483003
TRAJ52,chr14,+,22486227
TRAJ50,chr14,+,22488592
TRAJ49,chr14,+,22489487
TRAJ48,chr14,+,22490490
TRAJ47,chr14,+,22492850
TRAJ46,chr14,+,22493402
TRAJ45,chr14,+,22493924
TRAJ44,chr14,+,22494820
TRAJ43,chr14,+,22495912
TRAJ42,chr14,+,22496886
TRAJ41,chr14,+,22497656
TRAJ40,chr14,+,22499688
TRAJ39,chr14,+,22501600
TRAJ38,chr14,+,22502230
TRAJ37,chr14,+,22503749
TRAJ36,chr14,+,22505109
TRAJ35,chr14,+,22506643
TRAJ34,chr14,+,22507665
TRAJ33,chr14,+,22508601
TRAJ32,chr14,+,22509340
TRAJ31,chr14,+,22510967
TRAJ30,chr14,+,22512851
TRAJ29,chr14,+,22513938
TRAJ28,chr14,+,22515622
TRAJ27,chr14,+,22516272
TRAJ26,chr14,+,22518445
TRAJ25,chr14,+,22518811
TRAJ24,chr14,+,22519968
TRAJ23,chr14,+,22520415
TRAJ22,chr14,+,22522039
TRAJ21,chr14,+,22523599
TRAJ20,chr14,+,22524324
TRAJ19,chr14,+,22525262
TRAJ18,chr14,+,22525649
TRAJ17,chr14,+,22526843
TRAJ16,chr14,+,22528526
TRAJ14,chr14,+,22530326
TRAJ13,chr14,+,22531075
TRAJ12,chr14,+,22531938
TRAJ11,chr14,+,22532501
TRAJ10,chr14,+,22533496
TRAJ9,chr14,+,22535553
TRAJ7,chr14,+,22537621
TRAJ6,chr14,+,22539072
TRAJ5,chr14,+,22540246
TRAJ4,chr14,+,22542198
TRAJ3,chr14,+,22543178
TRAJ2,chr14,+,22544070
TRAJ1,chr14,+,22545036
TRAC,chr14,+,22547505
LINC02332,chr14,-,22564897
ENSG00000259003,chr14,+,22556568
DAD1,chr14,-,22589224
ENSG00000305009,chr14,+,22589478
ENSG00000275552,chr14,-,22598946
ABHD4,chr14,+,22598289
OR6J1,chr14,-,22644352
OXA1L-DT,chr14,-,22766669
ENSG00000212302,chr14,-,22756829
OXA1L,chr14,+,22766521
SLC7A7,chr14,-,22829820
MRPL52,chr14,+,22829878
MMP14,chr14,+,22836559
ENSG00000303741,chr14,-,22872694
Y_RNA,chr14,-,103725825
LRP10,chr14,+,22871739
REM2,chr14,+,22883221
RBM23,chr14,-,22919182
PRMT5-AS1,chr14,+,22918946
PRMT5,chr14,-,22929408
PRMT5-DT,chr14,+,22929606
HAUS4,chr14,-,22957161
ENSG00000259132,chr14,-,22982258
MIR4707,chr14,-,22957029
AJUBA,chr14,-,22982551
AJUBA-DT,chr14,+,22977978
C14orf93,chr14,-,23010166
ENSG00000280129,chr14,-,23007123
PSMB5,chr14,-,23035230
ENSG00000279656,chr14,-,23024217
PSMB11,chr14,+,23042211
CDH24,chr14,-,23057538
ENSG00000288795,chr14,+,23057689
ACIN1,chr14,-,23095614
C14orf119,chr14,+,23095504
CIROP,chr14,-,23104989
ENSG00000295916,chr14,-,23114155
ENSG00000295888,chr14,+,23115184
CEBPE,chr14,-,23120256
ENSG00000288931,chr14,-,23125571
SLC7A8,chr14,-,23183674
ENSG00000295903,chr14,+,23143114
RNU6-1138P,chr14,-,23156414
RNF212B,chr14,+,23185315
ENSG00000289968,chr14,-,23207329
RNU6-1046P,chr14,-,23259566
HOMEZ,chr14,-,23299796
ENSG00000290642,chr14,+,23293851
PPP1R3E,chr14,-,23302859
BCL2L2,chr14,+,23298789
BCL2L2-PABPN1,chr14,+,23306832
ENSG00000300135,chr14,-,23308456
ENSG00000300116,chr14,-,23321205
PABPN1,chr14,+,23321456
SLC22A17,chr14,-,23352912
EFS,chr14,-,23365752
ENSG00000259018,chr14,+,23356405
IL25,chr14,+,23372808
ENSG00000309003,chr14,-,23376965
CMTM5,chr14,+,23376772
MYH6,chr14,-,23408273
MIR208A,chr14,-,23388666
ENSG00000289973,chr14,-,23396281
ENSG00000294593,chr14,-,23410111
MYH7,chr14,-,23435660
ENSG00000258444,chr14,+,23415338
MIR208B,chr14,-,23418063
ENSG00000294572,chr14,+,23420969
NGDN,chr14,+,23469678
ENSG00000297774,chr14,-,23487336
ZFHX2-AS1,chr14,+,23511759
ZFHX2,chr14,-,23556192
ENSG00000273618,chr14,+,23530681
THTPA,chr14,+,23555987
AP1G2,chr14,-,23568070
AP1G2-AS1,chr14,+,23561096
JPH4,chr14,-,23578790
ENSG00000274002,chr14,+,23578016
DHRS2,chr14,+,23630114
ENSG00000304296,chr14,-,23694784
ENSG00000258464,chr14,-,23729757
ENSG00000299131,chr14,+,23726185
RN7SKP205,chr14,+,23791929
ENSG00000285727,chr14,-,23882428
LINC00596,chr14,-,23934568
DHRS4-AS1,chr14,-,24075861
DHRS4,chr14,+,23953733
ENSG00000308027,chr14,-,23969815
DHRS4L2,chr14,+,23969873
DHRS4L1,chr14,+,23969930
CARMIL3,chr14,+,24052008
CPNE6,chr14,+,24070836
NRL,chr14,-,24115010
PCK2,chr14,+,24094052
DCAF11,chr14,+,24114194
ENSG00000259371,chr14,+,24120955
FITM1,chr14,+,24130658
ENSG00000302407,chr14,-,24136333
PSME1,chr14,+,24136162
EMC9,chr14,-,24141591
ENSG00000259321,chr14,+,24139444
PSME2,chr14,-,24147570
MIR7703,chr14,-,24143565
RNF31,chr14,+,24146682
ENSG00000259529,chr14,+,24147547
IRF9,chr14,+,24161233
ENSG00000289757,chr14,-,24167063
REC8,chr14,+,24171852
IPO4,chr14,-,24188869
ENSG00000259522,chr14,-,24190416
ENSG00000287765,chr14,+,24188913
TM9SF1,chr14,-,24195687
ENSG00000254692,chr14,-,24213473
ENSG00000288820,chr14,+,24195686
ENSG00000276698,chr14,+,24198432
ENSG00000278784,chr14,-,24203108
TSSK4,chr14,+,24205695
CHMP4A,chr14,-,24213830
ENSG00000260669,chr14,-,24215987
MDP1,chr14,-,24216070
NEDD8-MDP1,chr14,-,24232352
NEDD8,chr14,-,24232367
GMPR2,chr14,+,24232421
TINF2,chr14,-,24242663
ENSG00000289979,chr14,+,24242400
TGM1,chr14,-,24264432
RABGGTA,chr14,-,24271611
ENSG00000288044,chr14,+,24266032
DHRS1,chr14,-,24299780
NOP9,chr14,+,24299849
CIDEB,chr14,-,24311430
LTB4R2,chr14,+,24305733
LTB4R,chr14,+,24311449
ADCY4,chr14,-,24335093
ENSG00000258973,chr14,-,24337382
RIPK3,chr14,-,24340022
U6,chr14,-,24352157
NFATC4,chr14,+,24365672
NYNRIN,chr14,+,24399002
CBLN3,chr14,-,24430954
KHNYN,chr14,+,24429285
SDR39U1,chr14,-,24442905
ENSG00000258744,chr14,+,24442950
CMA1,chr14,-,24508265
CTSG,chr14,-,24576250
ENSG00000258657,chr14,+,24595722
GZMH,chr14,-,24609699
GZMB,chr14,-,24634267
ENSG00000300967,chr14,+,24695135
STXBP6,chr14,-,25050147
ENSG00000288100,chr14,+,24818384
ENSG00000287481,chr14,+,24861171
ENSG00000296585,chr14,+,25050264
ENSG00000302997,chr14,-,25140523
ENSG00000303035,chr14,+,25111286
LINC02286,chr14,-,25156314
ENSG00000303055,chr14,+,25126345
ENSG00000295224,chr14,+,25156547
ENSG00000309034,chr14,+,25246554
ENSG00000309760,chr14,-,25375225
ENSG00000303019,chr14,+,25387033
ENSG00000305328,chr14,-,25526451
LINC02306,chr14,-,26143511
ENSG00000212270,chr14,-,25806712
ENSG00000279521,chr14,+,25820365
ENSG00000310370,chr14,-,25857997
ENSG00000305001,chr14,-,25919546
ENSG00000285633,chr14,+,25916014
ENSG00000304186,chr14,-,26045585
ENSG00000309558,chr14,-,26397373
NOVA1,chr14,-,26598033
ENSG00000262119,chr14,-,26594517
NOVA1-DT,chr14,+,26598368
ENSG00000299187,chr14,-,26603995
LINC02294,chr14,-,26822107
LINC02293,chr14,+,26809339
ENSG00000286479,chr14,-,26873449
MIR4307HG,chr14,+,26836727
MIR4307,chr14,+,26908641
MIR3171HG,chr14,-,27845312
LINC00645,chr14,+,27529237
MIR3171,chr14,-,27633278
ENSG00000301527,chr14,+,27815974
ENSG00000304121,chr14,-,28088510
ENSG00000299612,chr14,-,28264565
ENSG00000293235,chr14,+,28264389
ENSG00000257869,chr14,+,28318045
LINC02300,chr14,-,28613662
ENSG00000294227,chr14,+,28629587
ENSG00000294245,chr14,-,28654035
ENSG00000296586,chr14,+,28670788
FOXG1-AS1,chr14,-,28766589
ENSG00000296947,chr14,+,28759035
FOXG1,chr14,+,28764328
LINC01551,chr14,+,28765639
LINC02282,chr14,-,28785937
LINC02281,chr14,-,28830223
LINC02327,chr14,+,28829880
LINC02326,chr14,-,29099392
ENSG00000257522,chr14,-,29392074
RNU6-864P,chr14,-,28982410
ENSG00000258107,chr14,+,29390045
ENSG00000286040,chr14,-,29500583
